state_component, stat, schedule, label_scheme, N, result
goal.food, acc, 1, a, 9890, 0.8015167
goal.food, l2, 1, a, 9890, 0.3257783
goal.food, l2.binary, 1, a, 9890, 0.4134115
goal.food, avgp, 1, a, 9890, 0.7481844
goal.food, neglogp, 1, a, 9890, 1.2559137
goal.food, mrr, 1, a, 9890, 0.8346393
goal.food, update.acc, 1, a, 9890, 0.4616877
goal.food, update.prec, 1, a, 9890, 0.6338216
goal.food, roc.v1_eer, 1, a, 9890, 0.1915066
goal.food, roc.v1_ca05, 1, a, 9890, 0.2988878
goal.food, roc.v1_ca10, 1, a, 9890, 0.7194135
goal.food, roc.v1_ca20, 1, a, 9890, 0.8015167
goal.food, roc.v2_ca05, 1, a, 9890, 0.0001262
goal.food, roc.v2_ca10, 1, a, 9890, 0.0001262
goal.food, roc.v2_ca20, 1, a, 9890, 0.0001262
goal.pricerange, acc, 1, a, 9890, 0.8665319
goal.pricerange, l2, 1, a, 9890, 0.2476036
goal.pricerange, l2.binary, 1, a, 9890, 0.2577438
goal.pricerange, avgp, 1, a, 9890, 0.8494407
goal.pricerange, neglogp, 1, a, 9890, 0.9507727
goal.pricerange, mrr, 1, a, 9890, 0.8887327
goal.pricerange, update.acc, 1, a, 9890, 0.4570025
goal.pricerange, update.prec, 1, a, 9890, 0.7434053
goal.pricerange, roc.v1_eer, 1, a, 9890, 0.1894843
goal.pricerange, roc.v1_ca05, 1, a, 9890, 0.0001011
goal.pricerange, roc.v1_ca10, 1, a, 9890, 0.8071790
goal.pricerange, roc.v1_ca20, 1, a, 9890, 0.8665319
goal.pricerange, roc.v2_ca05, 1, a, 9890, 0.0001167
goal.pricerange, roc.v2_ca10, 1, a, 9890, 0.0001167
goal.pricerange, roc.v2_ca20, 1, a, 9890, 0.0001167
goal.name, acc, 1, a, 9890, 0.9949444
goal.name, l2, 1, a, 9890, 0.0101112
goal.name, l2.binary, 1, a, 9890, 0.0101112
goal.name, avgp, 1, a, 9890, 0.9949444
goal.name, neglogp, 1, a, 9890, 0.0465639
goal.name, mrr, 1, a, 9890, 0.9949444
goal.name, update.acc, 1, a, 9890, 0.0000000
goal.name, update.prec, 1, a, 9890, -
goal.name, roc.v1_eer, 1, a, 9890, 0.9948433
goal.name, roc.v1_ca05, 1, a, 9890, 0.9949444
goal.name, roc.v1_ca10, 1, a, 9890, 0.9949444
goal.name, roc.v1_ca20, 1, a, 9890, 0.9949444
goal.name, roc.v2_ca05, 1, a, 9890, 0.0001016
goal.name, roc.v2_ca10, 1, a, 9890, 0.0001016
goal.name, roc.v2_ca20, 1, a, 9890, 0.0001016
goal.area, acc, 1, a, 9890, 0.8702730
goal.area, l2, 1, a, 9890, 0.2275868
goal.area, l2.binary, 1, a, 9890, 0.2431296
goal.area, avgp, 1, a, 9890, 0.8500223
goal.area, neglogp, 1, a, 9890, 0.7835618
goal.area, mrr, 1, a, 9890, 0.9013154
goal.area, update.acc, 1, a, 9890, 0.4967012
goal.area, update.prec, 1, a, 9890, 0.7386125
goal.area, roc.v1_eer, 1, a, 9890, 0.1599596
goal.area, roc.v1_ca05, 1, a, 9890, 0.2980789
goal.area, roc.v1_ca10, 1, a, 9890, 0.8436805
goal.area, roc.v1_ca20, 1, a, 9890, 0.8702730
goal.area, roc.v2_ca05, 1, a, 9890, 0.0001162
goal.area, roc.v2_ca10, 1, a, 9890, 0.0001162
goal.area, roc.v2_ca20, 1, a, 9890, 0.0001162
goal.all, acc, 1, a, 39560, 0.8833165
goal.all, l2, 1, a, 39560, 0.2027700
goal.all, l2.binary, 1, a, 39560, 0.2310990
goal.all, avgp, 1, a, 39560, 0.8606479
goal.all, neglogp, 1, a, 39560, 0.7592030
goal.all, mrr, 1, a, 39560, 0.9049080
goal.all, update.acc, 1, a, 39560, 0.8672206
goal.all, update.prec, 1, a, 39560, 0.8748544
goal.all, roc.v1_eer, 1, a, 39560, 0.1359454
goal.all, roc.v1_ca05, 1, a, 39560, 0.6336198
goal.all, roc.v1_ca10, 1, a, 39560, 0.8775784
goal.all, roc.v1_ca20, 1, a, 39560, 0.8833165
goal.all, roc.v2_ca05, 1, a, 39560, 0.0000286
goal.all, roc.v2_ca10, 1, a, 39560, 0.0000286
goal.all, roc.v2_ca20, 1, a, 39560, 0.0000286
goal.joint, acc, 1, a, 9890, 0.6238625
goal.joint, l2, 1, a, 9890, 0.6155168
goal.joint, l2.binary, 1, a, 9890, 0.7677855
goal.joint, avgp, 1, a, 9890, 0.5540708
goal.joint, neglogp, 1, a, 9890, 2.7039410
goal.joint, mrr, 1, a, 9890, 0.6775794
goal.joint, update.acc, 1, a, 9890, 0.4079270
goal.joint, update.prec, 1, a, 9890, 0.5642892
goal.joint, roc.v1_eer, 1, a, 9890, 0.3373104
goal.joint, roc.v1_ca05, 1, a, 9890, 0.0958544
goal.joint, roc.v1_ca10, 1, a, 9890, 0.2461072
goal.joint, roc.v1_ca20, 1, a, 9890, 0.5113246
goal.joint, roc.v2_ca05, 1, a, 9890, 0.0562399
