state_component, stat, schedule, label_scheme, N, result
goal.food, acc, 1, a, 9890, 0.8109201
goal.food, l2, 1, a, 9890, 0.2948658
goal.food, l2.binary, 1, a, 9890, 0.3836759
goal.food, avgp, 1, a, 9890, 0.7721594
goal.food, neglogp, 1, a, 9890, 1.1144059
goal.food, mrr, 1, a, 9890, 0.8467653
goal.food, update.acc, 1, a, 9890, 0.4693607
goal.food, update.prec, 1, a, 9890, 0.6374269
goal.food, roc.v1_eer, 1, a, 9890, 0.1565217
goal.food, roc.v1_ca05, 1, a, 9890, 0.6061678
goal.food, roc.v1_ca10, 1, a, 9890, 0.7722952
goal.food, roc.v1_ca20, 1, a, 9890, 0.8109201
goal.food, roc.v2_ca05, 1, a, 9890, 0.0001247
goal.food, roc.v2_ca10, 1, a, 9890, 0.0001247
goal.food, roc.v2_ca20, 1, a, 9890, 0.5785536
goal.pricerange, acc, 1, a, 9890, 0.8782609
goal.pricerange, l2, 1, a, 9890, 0.2161218
goal.pricerange, l2.binary, 1, a, 9890, 0.2261729
goal.pricerange, avgp, 1, a, 9890, 0.8657223
goal.pricerange, neglogp, 1, a, 9890, 0.7673576
goal.pricerange, mrr, 1, a, 9890, 0.9073694
goal.pricerange, update.acc, 1, a, 9890, 0.4806402
goal.pricerange, update.prec, 1, a, 9890, 0.7495974
goal.pricerange, roc.v1_eer, 1, a, 9890, 0.1544995
goal.pricerange, roc.v1_ca05, 1, a, 9890, 0.4231547
goal.pricerange, roc.v1_ca10, 1, a, 9890, 0.8591507
goal.pricerange, roc.v1_ca20, 1, a, 9890, 0.8782609
goal.pricerange, roc.v2_ca05, 1, a, 9890, 0.0001151
goal.pricerange, roc.v2_ca10, 1, a, 9890, 0.0001151
goal.pricerange, roc.v2_ca20, 1, a, 9890, 0.0001151
goal.name, acc, 1, a, 9890, 0.9948433
goal.name, l2, 1, a, 9890, 0.0101872
goal.name, l2.binary, 1, a, 9890, 0.0101966
goal.name, avgp, 1, a, 9890, 0.9948787
goal.name, neglogp, 1, a, 9890, 0.0466699
goal.name, mrr, 1, a, 9890, 0.9948938
goal.name, update.acc, 1, a, 9890, 0.0000000
goal.name, update.prec, 1, a, 9890, 0.0000000
goal.name, roc.v1_eer, 1, a, 9890, 0.9947422
goal.name, roc.v1_ca05, 1, a, 9890, 0.9948433
goal.name, roc.v1_ca10, 1, a, 9890, 0.9948433
goal.name, roc.v1_ca20, 1, a, 9890, 0.9948433
goal.name, roc.v2_ca05, 1, a, 9890, 0.0001016
goal.name, roc.v2_ca10, 1, a, 9890, 0.0001016
goal.name, roc.v2_ca20, 1, a, 9890, 0.0001016
goal.area, acc, 1, a, 9890, 0.8677452
goal.area, l2, 1, a, 9890, 0.2331339
goal.area, l2.binary, 1, a, 9890, 0.2481868
goal.area, avgp, 1, a, 9890, 0.8502816
goal.area, neglogp, 1, a, 9890, 0.8100285
goal.area, mrr, 1, a, 9890, 0.8992920
goal.area, update.acc, 1, a, 9890, 0.4875177
goal.area, update.prec, 1, a, 9890, 0.7366548
goal.area, roc.v1_eer, 1, a, 9890, 0.1619818
goal.area, roc.v1_ca05, 1, a, 9890, 0.0001011
goal.area, roc.v1_ca10, 1, a, 9890, 0.8385238
goal.area, roc.v1_ca20, 1, a, 9890, 0.8677452
goal.area, roc.v2_ca05, 1, a, 9890, 0.0001165
goal.area, roc.v2_ca10, 1, a, 9890, 0.0001165
goal.area, roc.v2_ca20, 1, a, 9890, 0.0001165
goal.all, acc, 1, a, 39560, 0.8879424
goal.all, l2, 1, a, 39560, 0.1885772
goal.all, l2.binary, 1, a, 39560, 0.2170580
goal.all, avgp, 1, a, 39560, 0.8707605
goal.all, neglogp, 1, a, 39560, 0.6846155
goal.all, mrr, 1, a, 39560, 0.9120801
goal.all, update.acc, 1, a, 39560, 0.8746050
goal.all, update.prec, 1, a, 39560, 0.8824411
goal.all, roc.v1_eer, 1, a, 39560, 0.1201719
goal.all, roc.v1_ca05, 1, a, 39560, 0.7814712
goal.all, roc.v1_ca10, 1, a, 39560, 0.8853387
