state_component, stat, schedule, label_scheme, N, result
goal.food, acc, 1, a, 9890, 0.8194135
goal.food, l2, 1, a, 9890, 0.2808779
goal.food, l2.binary, 1, a, 9890, 0.3666338
goal.food, avgp, 1, a, 9890, 0.7779283
goal.food, neglogp, 1, a, 9890, 0.9601843
goal.food, mrr, 1, a, 9890, 0.8612904
goal.food, update.acc, 1, a, 9890, 0.4731774
goal.food, update.prec, 1, a, 9890, 0.6778325
goal.food, roc.v1_eer, 1, a, 9890, 0.1522750
goal.food, roc.v1_ca05, 1, a, 9890, 0.6802831
goal.food, roc.v1_ca10, 1, a, 9890, 0.7767442
goal.food, roc.v1_ca20, 1, a, 9890, 0.8194135
goal.food, roc.v2_ca05, 1, a, 9890, 0.4552073
goal.food, roc.v2_ca10, 1, a, 9890, 0.5872409
goal.food, roc.v2_ca20, 1, a, 9890, 0.7548124
goal.pricerange, acc, 1, a, 9890, 0.9038423
goal.pricerange, l2, 1, a, 9890, 0.1630372
goal.pricerange, l2.binary, 1, a, 9890, 0.1731477
goal.pricerange, avgp, 1, a, 9890, 0.8851258
goal.pricerange, neglogp, 1, a, 9890, 0.3812349
goal.pricerange, mrr, 1, a, 9890, 0.9447573
goal.pricerange, update.acc, 1, a, 9890, 0.5181347
goal.pricerange, update.prec, 1, a, 9890, 0.8474576
goal.pricerange, roc.v1_eer, 1, a, 9890, 0.1142568
goal.pricerange, roc.v1_ca05, 1, a, 9890, 0.8253792
goal.pricerange, roc.v1_ca10, 1, a, 9890, 0.9038423
goal.pricerange, roc.v1_ca20, 1, a, 9890, 0.9038423
goal.pricerange, roc.v2_ca05, 1, a, 9890, 0.2284372
goal.pricerange, roc.v2_ca10, 1, a, 9890, 0.4498266
goal.pricerange, roc.v2_ca20, 1, a, 9890, 0.6831860
goal.name, acc, 1, a, 9890, 0.9949444
goal.name, l2, 1, a, 9890, 0.0101142
goal.name, l2.binary, 1, a, 9890, 0.0101613
goal.name, avgp, 1, a, 9890, 0.9929506
goal.name, neglogp, 1, a, 9890, 0.0479463
goal.name, mrr, 1, a, 9890, 0.9954222
goal.name, update.acc, 1, a, 9890, 0.0000000
goal.name, update.prec, 1, a, 9890, -
goal.name, roc.v1_eer, 1, a, 9890, 0.0099090
goal.name, roc.v1_ca05, 1, a, 9890, 0.9949444
goal.name, roc.v1_ca10, 1, a, 9890, 0.9949444
goal.name, roc.v1_ca20, 1, a, 9890, 0.9949444
goal.name, roc.v2_ca05, 1, a, 9890, 0.1677846
goal.name, roc.v2_ca10, 1, a, 9890, 0.2720528
goal.name, roc.v2_ca20, 1, a, 9890, 0.3996951
goal.area, acc, 1, a, 9890, 0.8644085
goal.area, l2, 1, a, 9890, 0.2169514
goal.area, l2.binary, 1, a, 9890, 0.2452884
goal.area, avgp, 1, a, 9890, 0.8269224
goal.area, neglogp, 1, a, 9890, 0.5118966
goal.area, mrr, 1, a, 9890, 0.9175945
goal.area, update.acc, 1, a, 9890, 0.4778761
goal.area, update.prec, 1, a, 9890, 0.7500000
goal.area, roc.v1_eer, 1, a, 9890, 0.1468150
goal.area, roc.v1_ca05, 1, a, 9890, 0.7175935
goal.area, roc.v1_ca10, 1, a, 9890, 0.8294237
goal.area, roc.v1_ca20, 1, a, 9890, 0.8644085
goal.area, roc.v2_ca05, 1, a, 9890, 0.3045970
goal.area, roc.v2_ca10, 1, a, 9890, 0.5049713
goal.area, roc.v2_ca20, 1, a, 9890, 0.6859282
goal.all, acc, 1, a, 39560, 0.8956522
goal.all, l2, 1, a, 39560, 0.1677452
goal.all, l2.binary, 1, a, 39560, 0.1988078
goal.all, avgp, 1, a, 39560, 0.8707318
goal.all, neglogp, 1, a, 39560, 0.4753155
goal.all, mrr, 1, a, 39560, 0.9297661
goal.all, update.acc, 1, a, 39560, 0.8831119
goal.all, update.prec, 1, a, 39560, 0.8952896
goal.all, roc.v1_eer, 1, a, 39560, 0.1048534
goal.all, roc.v1_ca05, 1, a, 39560, 0.8381446
goal.all, roc.v1_ca10, 1, a, 39560, 0.8948433
goal.all, roc.v1_ca20, 1, a, 39560, 0.8956522
goal.all, roc.v2_ca05, 1, a, 39560, 0.4509201
goal.all, roc.v2_ca10, 1, a, 39560, 0.6251129
goal.all, roc.v2_ca20, 1, a, 39560, 0.7914033
goal.joint, acc, 1, a, 9890, 0.6607685
goal.joint, l2, 1, a, 9890, 0.5016244
goal.joint, l2.binary, 1, a, 9890, 0.6689494
goal.joint, avgp, 1, a, 9890, 0.5904929
goal.joint, neglogp, 1, a, 9890, 1.8097795
goal.joint, mrr, 1, a, 9890, 0.7561147
goal.joint, update.acc, 1, a, 9890, 0.4340323
goal.joint, update.prec, 1, a, 9890, 0.6115033
goal.joint, roc.v1_eer, 1, a, 9890, 0.2473205
goal.joint, roc.v1_ca05, 1, a, 9890, 0.3870576
goal.joint, roc.v1_ca10, 1, a, 9890, 0.4984833
goal.joint, roc.v1_ca20, 1, a, 9890, 0.6071790
goal.joint, roc.v2_ca05, 1, a, 9890, 0.3348125
goal.joint, roc.v2_ca10, 1, a, 9890, 0.4855394
goal.joint, roc.v2_ca20, 1, a, 9890, 0.6627391
goal.joint_independent, acc, 1, a, 9890, 0.6607685
goal.joint_independent, l2, 1, a, 9890, 0.5016244
goal.joint_independent, l2.binary, 1, a, 9890, 0.6689494
goal.joint_independent, avgp, 1, a, 9890, 0.5904929
goal.joint_independent, neglogp, 1, a, 9890, 1.8097795
goal.joint_independent, mrr, 1, a, 9890, 0.7561147
goal.joint_independent, update.acc, 1, a, 9890, 0.4340323
goal.joint_independent, update.prec, 1, a, 9890, 0.6115033
goal.joint_independent, roc.v1_eer, 1, a, 9890, 0.2473205
goal.joint_independent, roc.v1_ca05, 1, a, 9890, 0.3870576
goal.joint_independent, roc.v1_ca10, 1, a, 9890, 0.4984833
goal.joint_independent, roc.v1_ca20, 1, a, 9890, 0.6071790
goal.joint_independent, roc.v2_ca05, 1, a, 9890, 0.3348125
goal.joint_independent, roc.v2_ca10, 1, a, 9890, 0.4855394
goal.joint_independent, roc.v2_ca20, 1, a, 9890, 0.6627391
requested.addr, acc, 1, a, 9890, 0.9918099
requested.addr, l2, 1, a, 9890, 0.0163173
requested.addr, l2.binary, 1, a, 9890, 0.0163173
requested.addr, avgp, 1, a, 9890, 0.9904016
requested.addr, neglogp, 1, a, 9890, 0.0673171
requested.addr, mrr, 1, a, 9890, 0.9959050
requested.addr, update.acc, 1, a, 9890, 0.9785142
requested.addr, update.prec, 1, a, 9890, 0.9907817
requested.addr, roc.v1_eer, 1, a, 9890, 0.0145602
