state_component, stat, schedule, label_scheme, N, result
goal.food, acc, 1, a, 9890, 0.8180991
goal.food, l2, 1, a, 9890, 0.2760353
goal.food, l2.binary, 1, a, 9890, 0.3913515
goal.food, avgp, 1, a, 9890, 0.7533654
goal.food, neglogp, 1, a, 9890, 0.9601257
goal.food, mrr, 1, a, 9890, 0.8573100
goal.food, update.acc, 1, a, 9890, 0.4791313
goal.food, update.prec, 1, a, 9890, 0.6679281
goal.food, roc.v1_eer, 1, a, 9890, 0.1462083
goal.food, roc.v1_ca05, 1, a, 9890, 0.6779575
goal.food, roc.v1_ca10, 1, a, 9890, 0.7809909
goal.food, roc.v1_ca20, 1, a, 9890, 0.8180991
goal.food, roc.v2_ca05, 1, a, 9890, 0.4157706
goal.food, roc.v2_ca10, 1, a, 9890, 0.5750834
goal.food, roc.v2_ca20, 1, a, 9890, 0.7476208
goal.pricerange, acc, 1, a, 9890, 0.8983822
goal.pricerange, l2, 1, a, 9890, 0.1731319
goal.pricerange, l2.binary, 1, a, 9890, 0.1879302
goal.pricerange, avgp, 1, a, 9890, 0.8530309
goal.pricerange, neglogp, 1, a, 9890, 0.4000721
goal.pricerange, mrr, 1, a, 9890, 0.9405898
goal.pricerange, update.acc, 1, a, 9890, 0.5089186
goal.pricerange, update.prec, 1, a, 9890, 0.8438078
goal.pricerange, roc.v1_eer, 1, a, 9890, 0.1296259
goal.pricerange, roc.v1_ca05, 1, a, 9890, 0.7466127
goal.pricerange, roc.v1_ca10, 1, a, 9890, 0.8968655
goal.pricerange, roc.v1_ca20, 1, a, 9890, 0.8983822
goal.pricerange, roc.v2_ca05, 1, a, 9890, 0.2486213
goal.pricerange, roc.v2_ca10, 1, a, 9890, 0.3744513
goal.pricerange, roc.v2_ca20, 1, a, 9890, 0.5029826
goal.name, acc, 1, a, 9890, 0.9949444
goal.name, l2, 1, a, 9890, 0.0107198
goal.name, l2.binary, 1, a, 9890, 0.0113748
goal.name, avgp, 1, a, 9890, 0.9754345
goal.name, neglogp, 1, a, 9890, 0.0618040
goal.name, mrr, 1, a, 9890, 0.9954675
goal.name, update.acc, 1, a, 9890, 0.0000000
goal.name, update.prec, 1, a, 9890, -
goal.name, roc.v1_eer, 1, a, 9890, 0.0101112
