state_component, stat, schedule, label_scheme, N, result
goal.food, acc, 1, a, 9890, 0.7750253
goal.food, l2, 1, a, 9890, 0.3684885
goal.food, l2.binary, 1, a, 9890, 0.4790934
goal.food, avgp, 1, a, 9890, 0.7157254
goal.food, neglogp, 1, a, 9890, 1.3543065
goal.food, mrr, 1, a, 9890, 0.8246268
goal.food, update.acc, 1, a, 9890, 0.3756630
goal.food, update.prec, 1, a, 9890, 0.6044177
goal.food, roc.v1_eer, 1, a, 9890, 0.2157735
goal.food, roc.v1_ca05, 1, a, 9890, 0.5103134
goal.food, roc.v1_ca10, 1, a, 9890, 0.6429727
goal.food, roc.v1_ca20, 1, a, 9890, 0.7640040
goal.food, roc.v2_ca05, 1, a, 9890, 0.2529680
goal.food, roc.v2_ca10, 1, a, 9890, 0.4062622
goal.food, roc.v2_ca20, 1, a, 9890, 0.6360078
goal.pricerange, acc, 1, a, 9890, 0.9109201
goal.pricerange, l2, 1, a, 9890, 0.1515247
goal.pricerange, l2.binary, 1, a, 9890, 0.1695547
goal.pricerange, avgp, 1, a, 9890, 0.8715164
goal.pricerange, neglogp, 1, a, 9890, 0.3505703
goal.pricerange, mrr, 1, a, 9890, 0.9477469
goal.pricerange, update.acc, 1, a, 9890, 0.5458908
goal.pricerange, update.prec, 1, a, 9890, 0.8272727
goal.pricerange, roc.v1_eer, 1, a, 9890, 0.1172902
goal.pricerange, roc.v1_ca05, 1, a, 9890, 0.8313448
goal.pricerange, roc.v1_ca10, 1, a, 9890, 0.9109201
goal.pricerange, roc.v1_ca20, 1, a, 9890, 0.9109201
goal.pricerange, roc.v2_ca05, 1, a, 9890, 0.3226773
goal.pricerange, roc.v2_ca10, 1, a, 9890, 0.4704185
goal.pricerange, roc.v2_ca20, 1, a, 9890, 0.6778777
goal.name, acc, 1, a, 9890, 0.9949444
goal.name, l2, 1, a, 9890, 0.0101109
goal.name, l2.binary, 1, a, 9890, 0.0101292
goal.name, avgp, 1, a, 9890, 0.9942912
goal.name, neglogp, 1, a, 9890, 0.0466800
goal.name, mrr, 1, a, 9890, 0.9954548
goal.name, update.acc, 1, a, 9890, 0.0000000
goal.name, update.prec, 1, a, 9890, -
goal.name, roc.v1_eer, 1, a, 9890, 0.0097068
goal.name, roc.v1_ca05, 1, a, 9890, 0.9949444
goal.name, roc.v1_ca10, 1, a, 9890, 0.9949444
goal.name, roc.v1_ca20, 1, a, 9890, 0.9949444
goal.name, roc.v2_ca05, 1, a, 9890, 0.0683943
goal.name, roc.v2_ca10, 1, a, 9890, 0.1016260
goal.name, roc.v2_ca20, 1, a, 9890, 0.1476626
goal.area, acc, 1, a, 9890, 0.8673407
goal.area, l2, 1, a, 9890, 0.2141421
goal.area, l2.binary, 1, a, 9890, 0.2501277
goal.area, avgp, 1, a, 9890, 0.8229365
goal.area, neglogp, 1, a, 9890, 0.5163277
goal.area, mrr, 1, a, 9890, 0.9183791
goal.area, update.acc, 1, a, 9890, 0.4618267
goal.area, update.prec, 1, a, 9890, 0.7769898
goal.area, roc.v1_eer, 1, a, 9890, 0.1476239
goal.area, roc.v1_ca05, 1, a, 9890, 0.7347826
goal.area, roc.v1_ca10, 1, a, 9890, 0.8375126
goal.area, roc.v1_ca20, 1, a, 9890, 0.8673407
goal.area, roc.v2_ca05, 1, a, 9890, 0.2466775
goal.area, roc.v2_ca10, 1, a, 9890, 0.4320354
goal.area, roc.v2_ca20, 1, a, 9890, 0.6763814
goal.all, acc, 1, a, 39560, 0.8870576
goal.all, l2, 1, a, 39560, 0.1860666
goal.all, l2.binary, 1, a, 39560, 0.2272263
goal.all, avgp, 1, a, 39560, 0.8511174
goal.all, neglogp, 1, a, 39560, 0.5669711
goal.all, mrr, 1, a, 39560, 0.9215519
goal.all, update.acc, 1, a, 39560, 0.8721310
goal.all, update.prec, 1, a, 39560, 0.8873995
goal.all, roc.v1_eer, 1, a, 39560, 0.1219919
goal.all, roc.v1_ca05, 1, a, 39560, 0.7965369
goal.all, roc.v1_ca10, 1, a, 39560, 0.8812184
goal.all, roc.v1_ca20, 1, a, 39560, 0.8870576
goal.all, roc.v2_ca05, 1, a, 39560, 0.3689730
goal.all, roc.v2_ca10, 1, a, 39560, 0.5206600
goal.all, roc.v2_ca20, 1, a, 39560, 0.7350108
goal.joint, acc, 1, a, 9890, 0.6302326
goal.joint, l2, 1, a, 9890, 0.5659583
goal.joint, l2.binary, 1, a, 9890, 0.7759497
goal.joint, avgp, 1, a, 9890, 0.5354274
goal.joint, neglogp, 1, a, 9890, 2.1377192
goal.joint, mrr, 1, a, 9890, 0.7260053
goal.joint, update.acc, 1, a, 9890, 0.3820123
goal.joint, update.prec, 1, a, 9890, 0.5747345
goal.joint, roc.v1_eer, 1, a, 9890, 0.2964611
goal.joint, roc.v1_ca05, 1, a, 9890, 0.2863498
goal.joint, roc.v1_ca10, 1, a, 9890, 0.4074823
goal.joint, roc.v1_ca20, 1, a, 9890, 0.5366026
goal.joint, roc.v2_ca05, 1, a, 9890, 0.2146639
goal.joint, roc.v2_ca10, 1, a, 9890, 0.3752607
goal.joint, roc.v2_ca20, 1, a, 9890, 0.5648965
goal.joint_independent, acc, 1, a, 9890, 0.6302326
goal.joint_independent, l2, 1, a, 9890, 0.5659583
goal.joint_independent, l2.binary, 1, a, 9890, 0.7759497
goal.joint_independent, avgp, 1, a, 9890, 0.5354274
goal.joint_independent, neglogp, 1, a, 9890, 2.1377192
goal.joint_independent, mrr, 1, a, 9890, 0.7260053
goal.joint_independent, update.acc, 1, a, 9890, 0.3820123
goal.joint_independent, update.prec, 1, a, 9890, 0.5747345
goal.joint_independent, roc.v1_eer, 1, a, 9890, 0.2964611
goal.joint_independent, roc.v1_ca05, 1, a, 9890, 0.2863498
goal.joint_independent, roc.v1_ca10, 1, a, 9890, 0.4074823
goal.joint_independent, roc.v1_ca20, 1, a, 9890, 0.5366026
goal.joint_independent, roc.v2_ca05, 1, a, 9890, 0.2146639
goal.joint_independent, roc.v2_ca10, 1, a, 9890, 0.3752607
goal.joint_independent, roc.v2_ca20, 1, a, 9890, 0.5648965
requested.addr, acc, 1, a, 9890, 0.9796764
requested.addr, l2, 1, a, 9890, 0.0283111
